City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Weligama,LK,2021-05-31 04:15:51,5.9667,80.4167,83.39,78,100,14.85
68,Airai,TL,2021-05-31 04:12:20,-8.9266,125.4092,75.02,51,91,2.68
69,Honningsvag,NO,2021-05-31 04:15:52,70.9821,25.9704,40.75,87,75,21.85
70,Mandalgovi,MN,2021-05-31 04:15:52,45.7625,106.2708,48.49,27,5,15.12
71,Nishihara,JP,2021-05-31 04:13:14,26.1842,127.7558,79.88,79,90,18.43
72,East London,ZA,2021-05-31 04:15:53,-33.0153,27.9116,54.54,71,0,8.05
73,Gudalur,IN,2021-05-31 04:15:53,9.6833,77.2667,83.01,63,73,7.9
74,San Patricio,US,2021-05-31 04:15:53,28.017,-97.5169,80.47,83,21,12.55
75,Itupiranga,BR,2021-05-31 04:15:54,-5.1347,-49.3267,73.09,83,3,3.33
76,Paamiut,GL,2021-05-31 04:15:54,61.994,-49.6678,35.49,87,89,6.71
77,Santa Maria,BR,2021-05-31 04:15:54,-29.6842,-53.8069,42.75,69,3,2.17
78,Jaora,IN,2021-05-31 04:15:55,23.6333,75.1333,89.35,50,60,15.95
79,Nome,US,2021-05-31 04:12:07,64.5011,-165.4064,57.16,50,1,9.22
80,Sakakah,SA,2021-05-31 04:15:55,29.9697,40.2064,83.77,11,57,1.92
81,Matara,LK,2021-05-31 04:15:56,5.9485,80.5353,83.89,76,100,14.72
82,Sao Joao Da Barra,BR,2021-05-31 04:12:56,-21.6403,-41.0511,71.65,96,80,7.96
83,Preeceville,CA,2021-05-31 04:15:56,51.95,-102.6677,49.03,59,3,3.36
84,Kinkala,CG,2021-05-31 04:15:57,-4.3614,14.7644,70.12,90,98,4.65
85,Tuktoyaktuk,CA,2021-05-31 04:15:57,69.4541,-133.0374,42.8,61,20,8.05
86,Punta Arenas,CL,2021-05-31 04:14:11,-53.15,-70.9167,28.51,86,40,7.0
87,Esplanada,BR,2021-05-31 04:15:58,-11.7961,-37.945,70.27,95,37,2.68
88,Los Andes,CL,2021-05-31 04:15:14,-32.8337,-70.5983,55.58,39,80,2.66
89,Mushie,CD,2021-05-31 04:15:59,-3.0167,16.9,75.83,64,97,3.27
90,Mamou,GN,2021-05-31 04:15:59,10.5,-12.0,69.12,94,100,1.43
91,Saint-Pierre,RE,2021-05-31 04:16:00,-21.3393,55.4781,73.08,57,0,5.75
92,Necochea,AR,2021-05-31 04:16:00,-38.5473,-58.7368,53.04,53,100,23.42
93,Sembe,CG,2021-05-31 04:16:00,1.6481,14.5806,71.58,94,97,1.05
94,Yulara,AU,2021-05-31 04:16:01,-25.2406,130.9889,69.64,21,40,11.5
95,Trofors,NO,2021-05-31 04:16:01,65.5333,13.4063,46.27,84,100,2.42
96,Pemberton,CA,2021-05-31 04:16:01,50.3164,-122.8027,60.66,83,96,2.46
97,Rabo De Peixe,PT,2021-05-31 04:16:02,37.8,-25.5833,60.31,82,40,7.67
98,Codrington,AU,2021-05-31 04:16:03,-38.2667,141.9667,57.94,40,96,13.31
99,Alta Floresta,BR,2021-05-31 04:12:35,-9.8756,-56.0861,70.74,63,69,2.06
100,Cheney,US,2021-05-31 04:14:17,47.4874,-117.5758,69.82,35,75,2.8
101,Bengkulu,ID,2021-05-31 04:16:04,-3.8004,102.2655,83.89,67,45,7.18
102,Lagoa,PT,2021-05-31 04:16:04,39.05,-27.9833,62.24,88,93,11.16
103,Hilo,US,2021-05-31 04:11:51,19.7297,-155.09,83.28,83,90,6.91
104,Deputatskiy,RU,2021-05-31 04:12:15,69.3,139.9,62.19,36,8,17.47
105,Geraldton,AU,2021-05-31 04:16:05,-28.7667,114.6,68.13,72,90,17.6
106,Saint-Philippe,RE,2021-05-31 04:16:06,-21.3585,55.7679,72.99,79,5,5.48
107,Shu,KZ,2021-05-31 04:16:06,43.5983,73.7614,82.04,35,10,5.23
108,Katima Mulilo,NA,2021-05-31 04:16:06,-17.5,24.2667,50.14,46,83,2.64
109,Puerto Santander,CO,2021-05-31 04:16:07,8.3636,-72.4063,73.6,96,93,1.19
110,Dunedin,NZ,2021-05-31 04:16:07,-45.8742,170.5036,49.8,89,100,7.0
111,Carnarvon,AU,2021-05-31 04:16:08,-24.8667,113.6333,69.87,52,47,13.8
112,Victoria,HK,2021-05-31 04:11:36,22.2855,114.1577,89.65,85,100,1.01
113,Manta,EC,2021-05-31 04:13:58,-0.95,-80.7333,73.71,88,95,9.42
114,Khatanga,RU,2021-05-31 04:12:29,71.9667,102.5,57.27,61,88,12.91
115,Teya,RU,2021-05-31 04:14:48,60.3778,92.6267,57.0,36,100,6.87
116,Jamestown,US,2021-05-31 04:16:09,42.097,-79.2353,46.29,83,4,1.99
